run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,signal_frequency_hz,signal_frequency_measured_hz,fir_mode,power_tier_dbm,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples
e1_sr1000000_f1304348_idx14_fir_default__pp0p0,e1_sr1000000_f1304348_idx14_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:13.759120+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,default,0.0,6,1,5,2048,0,True,0.0,63.73263038652051,87,44,False,True,1,5,2048
e1_sr1000000_f1304348_idx14_fir_default__pp10p0,e1_sr1000000_f1304348_idx14_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:15.689347+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,default,10.0,6,1,5,2048,0,True,0.0,45.21801674408853,60,19,False,True,1,5,2048
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm30p0,e1_sr1000000_f1391304_idx15_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:23:56.427218+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,alias_hack,-30.0,6,1,5,2048,0,True,0.0,24.60292135318906,20,-46,False,True,1,5,2048
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm40p0,e1_sr1000000_f1391304_idx15_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:54.393497+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.7704772274015841,1,-2,False,False,3,5,2048
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm50p0,e1_sr1000000_f1391304_idx15_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:50.342143+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.5107151934750116,0,-2,False,False,3,5,2048
e1_sr1000000_f1391304_idx15_fir_default__pm10p0,e1_sr1000000_f1391304_idx15_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:18.623338+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,default,-10.0,6,1,5,2048,0,True,0.0,12.771468128534952,18,6,False,True,1,5,2048
e1_sr1000000_f1391304_idx15_fir_default__pp0p0,e1_sr1000000_f1391304_idx15_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:20.547825+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,default,0.0,6,1,5,2048,0,True,0.0,63.214221155079464,79,45,False,True,1,5,2048
e1_sr1000000_f1391304_idx15_fir_default__pp10p0,e1_sr1000000_f1391304_idx15_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1391304_idx15_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:22.472686+00:00,1000000.0,1000000.026490954,0.02649095398373902,1391304.347826087,1391304.347826087,default,10.0,6,1,5,2048,0,True,0.0,43.411794863442616,59,30,False,True,1,5,2048
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm30p0,e1_sr1000000_f1478261_idx16_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:24:07.582737+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,alias_hack,-30.0,6,1,5,2048,0,True,0.0,21.28134360851488,16,-41,False,True,1,5,2048
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm40p0,e1_sr1000000_f1478261_idx16_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:05.549291+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.8691653796231018,2,-3,False,False,3,5,2048
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm50p0,e1_sr1000000_f1478261_idx16_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:01.493588+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.7379688704418901,0,-2,False,False,3,5,2048
e1_sr1000000_f1478261_idx16_fir_default__pm10p0,e1_sr1000000_f1478261_idx16_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:25.399780+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,default,-10.0,6,1,5,2048,0,True,0.0,12.5940486791864,20,4,False,True,1,5,2048
e1_sr1000000_f1478261_idx16_fir_default__pp0p0,e1_sr1000000_f1478261_idx16_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:27.332154+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,default,0.0,6,1,5,2048,0,True,0.0,62.82698488020662,75,48,False,True,1,5,2048
e1_sr1000000_f1478261_idx16_fir_default__pp10p0,e1_sr1000000_f1478261_idx16_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1478261_idx16_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:29.265048+00:00,1000000.0,1000000.026490954,0.02649095398373902,1478260.8695652173,1478260.8695652173,default,10.0,6,1,5,2048,0,True,0.0,41.4483139744406,60,29,False,True,1,5,2048
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm30p0,e1_sr1000000_f1565217_idx17_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:24:18.760302+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,alias_hack,-30.0,6,1,5,2048,0,True,0.0,12.498809230415713,-4,-20,False,True,1,5,2048
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm40p0,e1_sr1000000_f1565217_idx17_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:16.728397+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.5951974626921286,1,-2,False,False,3,5,2048
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm50p0,e1_sr1000000_f1565217_idx17_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:12.645064+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.5124902282071522,0,-1,False,False,3,5,2048
e1_sr1000000_f1565217_idx17_fir_default__pm10p0,e1_sr1000000_f1565217_idx17_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:32.187187+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,default,-10.0,6,1,5,2048,0,True,0.0,13.049888848646088,21,7,False,True,1,5,2048
