frequency_hz,amplitude_v,reference_amplitude_v,gain_linear,gain_db,mode,run_id,curve_label,fir_mode,sample_rate_hz_nominal,power_tier_dbm,status,qc_analysis_pass,qc_recommended_pass,selection_preferred_power_dbm,selection_used_preferred_mode_power,source_kind,source_path,source_member,frequency_normalized_to_nyquist,frequency_normalized_to_fs
185316.66989242064,114.60243724931922,116.34340907277237,0.985035922212283,-0.1309586279339768,default@1.0MHz,e2_sr1000000_f185317_idx27_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f185317_idx27_fir_default__pm30p0.npz,0.37063333014837474,0.18531666507418737
206478.23694200048,114.7345262669337,116.34340907277237,0.9861712595611469,-0.1209531692527867,default@1.0MHz,e2_sr1000000_f206478_idx28_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f206478_idx28_fir_default__pm30p0.npz,0.41295646314713297,0.20647823157356648
230056.27262472452,115.22968574754277,116.34340907277237,0.9904272761636805,-0.08354815556929433,default@1.0MHz,e2_sr1000000_f230056_idx29_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f230056_idx29_fir_default__pm30p0.npz,0.4601125332865232,0.2300562666432616
256326.71683867776,115.74388320816544,116.34340907277237,0.9948469288515353,-0.04487472818372778,default@1.0MHz,e2_sr1000000_f256327_idx30_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f256327_idx30_fir_default__pm30p0.npz,0.5126534203483666,0.2563267101741833
285597.0194408625,116.17780757055752,116.34340907277237,0.9985766146657155,-0.012372175202754415,default@1.0MHz,e2_sr1000000_f285597_idx31_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f285597_idx31_fir_default__pm30p0.npz,0.5711940240306804,0.2855970120153402
318209.7384130214,116.34340907277237,116.34340907277237,1.0,0.0,default@1.0MHz,e2_sr1000000_f318210_idx32_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f318210_idx32_fir_default__pm30p0.npz,0.6364194602791368,0.3182097301395684
354546.54890700104,116.16112164971116,116.34340907277237,0.998433195103066,-0.01361976696636044,default@1.0MHz,e2_sr1000000_f354547_idx33_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f354547_idx33_fir_default__pm30p0.npz,0.709093079377582,0.354546539688791
395032.71008855104,115.20250868423666,116.34340907277237,0.9901936826707383,-0.08559697495618826,default@1.0MHz,e2_sr1000000_f395033_idx34_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f395033_idx34_fir_default__pm30p0.npz,0.7900653996354018,0.3950326998177009
440142.04205619736,112.32691744662493,116.34340907277237,0.9654772740616949,-0.30515888856197043,default@1.0MHz,e2_sr1000000_f440142_idx35_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f440142_idx35_fir_default__pm30p0.npz,0.8802840612250091,0.44014203061250456
490402.4710813789,103.42549599654141,116.34340907277237,0.8889673838923625,-1.0222834590078957,default@1.0MHz,e2_sr1000000_f490402_idx36_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f490402_idx36_fir_default__pm30p0.npz,0.9808049166618301,0.49040245833091506
546402.208067224,61.26160984325348,116.34340907277237,0.5265584903476103,-5.571067603555652,default@1.0MHz,e2_sr1000000_f546402_idx37_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f546402_idx37_fir_default__pm30p0.npz,1.092804387721534,0.546402193860767
608796.6325340847,15.694963597823776,116.34340907277237,0.13490204320905394,-17.399629450194595,default@1.0MHz,e2_sr1000000_f608797_idx38_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f608797_idx38_fir_default__pm30p0.npz,1.2175932334107455,0.6087966167053728
678315.9626969191,13.584610783509078,116.34340907277237,0.11676304564027304,-18.653891708501703,default@1.0MHz,e2_sr1000000_f678316_idx39_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f678316_idx39_fir_default__pm30p0.npz,1.3566318901214092,0.6783159450607046
