run_id,mode,sample_rate_hz,frequency_hz,voltage_real_v,voltage_imag_v,voltage_mag_v,voltage_phase_rad,voltage_mag_block_std_v,power_v2,power_block_std_v2,power_from_voltage_v2,power_consistency_delta_v2,n_blocks_used,qc_analysis_pass,qc_recommended_pass,adc_passes_guard,adc_is_clipped,source_power_dbm,target_vrms_v,tones_hz_json
e3_20260209T054900Z,single_tone,3200000.0,837499.9999999999,0.0044855544339297984,-0.019469653679483053,0.019979680001910822,-1.3443604462105903,0.018770290767659188,0.0007682464213322625,0.0010318189646653173,0.0003991876129787552,0.00036905880835350725,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,839062.4999999999,0.01267319420305099,-0.009066169023702537,0.015582210115211149,-0.6209747158365342,0.016191719117644218,0.0007205798209839713,0.0009910523352864955,0.00024280527207458865,0.0004777745489093826,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,840624.9999999999,0.0016736075333495923,-0.001130170680761497,0.0020194672424521803,-0.5939489694714998,0.012992516662437425,0.00039866754980303395,0.000462514501439275,4.078247943337413e-06,0.0003945893018596965,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,842187.4999999999,0.006241126341638384,-0.0043379253127085,0.007600608793440802,-0.6073993749454433,0.016612841609543603,0.000790536262646014,0.0009781824321790328,5.776925403092964e-05,0.0007327670086150844,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,843749.9999999999,0.004898729594103187,-0.0041206861107198605,0.006401375294358388,-0.6993480038922916,0.012970394969897712,0.0004854508325470781,0.0006758960639880838,4.0977605659221944e-05,0.0004444732268878562,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,845312.4999999999,0.004203974810606525,-0.005371565244890269,0.006821078902074599,-0.9067338690385224,0.011645878508039708,0.0003880248723562853,0.00047952301403055155,4.6527117388327225e-05,0.00034149775496795806,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,846874.9999999999,0.0030881869595829853,-0.004855490130393267,0.005754362093549972,-1.0043120102471046,0.01297840997824242,0.0006398283083301774,0.0007512562466156313,3.311268310368482e-05,0.0006067156252264926,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,848437.4999999999,0.00624625883602557,-0.006506960192836368,0.009019771637784663,-0.8058373208956371,0.004405487627525006,0.0005391994190228781,0.0002125139838736839,8.135628039778462e-05,0.0004578431386250935,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,849999.9999999999,0.005327710059787216,-0.005231409466701376,0.007466735530970055,-0.7762782814807867,0.01652128253887897,0.0009781642011905847,0.0011939890666429784,5.575213948945067e-05,0.0009224120617011341,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,851562.4999999999,0.006925908316791688,-0.004389445537125447,0.00819972183284255,-0.5648822898824798,0.013175722359127996,0.00034272697037552577,0.0004981442645055684,6.723543813599479e-05,0.000275491532239531,5,True,True,True,False,-24.6,0.0301,[333333.3]
