run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm50p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1739130_idx19_fir_default__pm10p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1739130_idx19_fir_default__pp0p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1739130_idx19_fir_default__pp10p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f173913_idx01_fir_alias_hack__pm30p0,173913.04347826086,1000000.026490954,173913.04347826086,173828.12960487287,-84.91387338799541,84.91387338799541,0.0,alias_hack,-30.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f173913_idx01_fir_alias_hack__pm40p0,173913.04347826086,1000000.026490954,173913.04347826086,173828.12960487287,-84.91387338799541,84.91387338799541,0.0,alias_hack,-40.0,captured,True,False,True,True
e1_sr1000000_f173913_idx01_fir_alias_hack__pm50p0,173913.04347826086,1000000.026490954,173913.04347826086,173828.12960487287,-84.91387338799541,84.91387338799541,0.0,alias_hack,-50.0,captured,True,False,True,True
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm30p0,1826086.956521739,1000000.026490954,-173913.09646016883,-173828.12960487287,84.96685529596289,84.96685529596289,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm40p0,1826086.956521739,1000000.026490954,-173913.09646016883,-173828.12960487287,84.96685529596289,84.96685529596289,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm50p0,1826086.956521739,1000000.026490954,-173913.09646016883,-173828.12960487287,84.96685529596289,84.96685529596289,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1826087_idx20_fir_default__pm10p0,1826086.956521739,1000000.026490954,-173913.09646016883,-172460.94206865478,1452.15439151405,1452.15439151405,2111.4989143769876,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1826087_idx20_fir_default__pp0p0,1826086.956521739,1000000.026490954,-173913.09646016883,-172460.94206865478,1452.15439151405,1452.15439151405,2813.449350095009,default,0.0,captured,True,False,True,True
e1_sr1000000_f1826087_idx20_fir_default__pp10p0,1826086.956521739,1000000.026490954,-173913.09646016883,-173925.78585745988,-12.689397291047499,12.689397291047499,3561.4419945042864,default,10.0,captured,True,False,True,True
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm30p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-86914.06480243643,42.50991860202339,42.50991860202339,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm40p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-86914.06480243643,42.50991860202339,42.50991860202339,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm50p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-86914.06480243643,42.50991860202339,42.50991860202339,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1913043_idx21_fir_default__pm10p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-87304.68981278446,-348.1150917460036,348.1150917460036,873.4640768497536,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1913043_idx21_fir_default__pp0p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-87695.3148231325,-738.7401020940451,738.7401020940451,1273.2817534965932,default,0.0,captured,True,False,True,True
e1_sr1000000_f1913043_idx21_fir_default__pp10p0,1913043.4782608696,1000000.026490954,-86956.57472103846,-89648.43987487265,-2691.8651538341946,2691.8651538341946,1641.3805428930295,default,10.0,captured,True,False,True,True
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm30p0,2000000.0,1000000.026490954,-0.05298190808389336,-1171.8750310440869,-1171.822049136003,1171.822049136003,1273.28175349659,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm40p0,2000000.0,1000000.026490954,-0.05298190808389336,-2050.7813043271517,-2050.728322419068,2050.728322419068,1263.884711757369,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm50p0,2000000.0,1000000.026490954,-0.05298190808389336,-2636.7188198491954,-2636.6658379411115,2636.6658379411115,1319.2633246073613,alias_hack,-50.0,captured_guard_fail,False,False,True,False
