run_id,window,sample_rate_hz,n_samples,n_blocks_used,frequency_hz,power_v2
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1353124.9999999998,2.4996987066204453e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1351562.4999999998,8.99760406553319e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1349999.9999999998,0.00012854273426726186
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1348437.4999999998,6.028762040958286e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1346874.9999999998,4.939217691312316e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1345312.4999999998,3.832627773331156e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1343749.9999999998,7.73384027293823e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1342187.4999999998,4.3574244944951495e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1340624.9999999998,9.509505850958406e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1339062.4999999998,3.257804805147969e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1337499.9999999998,3.0532494437624576e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1335937.4999999998,8.031981548515369e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1334374.9999999998,0.00017467067489887212
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1332812.4999999998,0.00027905052267251864
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1331249.9999999998,0.0001562248392055181
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1329687.4999999998,3.558561237097571e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1328124.9999999998,4.9381202533170065e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1326562.4999999998,0.00010245965421664221
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1324999.9999999998,7.598715227421086e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1323437.4999999998,4.6671194155115875e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1321874.9999999998,3.868796181497662e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1320312.4999999998,7.644302432360906e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1318749.9999999998,3.123808390998013e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1317187.4999999998,2.985559380409871e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1315624.9999999998,4.928634995183292e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1314062.4999999998,2.049014809367176e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1312499.9999999998,2.275206097589472e-05
